LCD;RNID;N1ID;N2ID;NAME
30866;499621;498742;;Route de Meyrin
30952;499121;499176;;Route de Peney
27306;314;3782;;Bözberg
12276;314;5574;;Zinal
35505;522357;522346;;In Piazza t'Cásro
30845;499320;526597;;Rue de l'Ancien-Port
10576;;1788;;Auvernier
23900;270;8686;;Lindau
16735;270;508;;Oberdorf
27855;482844;483220;;Zieglerstrasse
20572;270;4922;;Forel (Lavaux)
32562;489497;508442;;Nidfeldstrasse
16846;270;3460;;Aarberg
24991;270;8296;;Illighausen
28540;487201;487345;;Christoffelgasse
32423;507279;488168;;Sankt Gallerstrasse
25053;270;3026;;Affeltrangen
24967;270;682;;Sulgen
27197;270;8482;;Le Landar
12865;270;5884;;Aproz
30122;495538;495556;;Grand'Rue
30220;495915;495872;;Route des Narcisses
16768;270;2492;;Hindelbank
22487;270;3366;;Olten
24481;270;8164;;Gachnang
23948;270;6562;;Bubikon
23910;314;5606;;Aathal
32603;508552;508449;;Horwerstrasse
19268;270;6956;;Cortaillod
28119;484655;484927;;Georg-Friedrich-Heilmann-Strasse
16659;270;10608;;Schwarzhäusern
23881;314;476;;Hemishofen
22846;314;5284;;Hirschthal
16606;270;860;;Oberbipp
22798;270;4972;;Menznau
31033;500381;500391;;Avenue des Communes Réunies
28999;489930;489688;;Rämistrasse
10605;314;1842;;Solothurn-Süd
29123;489990;490683;;Rosengartenstrasse
16856;270;1368;;Wiler
27853;482844;482674;;Bremgartenstrasse
22893;314;3604;;Hallwil
20921;314;3730;;Igis
35731;527772;523478;;Basso Nucleo
11434;314;482;;Sihlbrugg
21105;270;10216;;Tartar
30702;498742;498765;;Avenue Louis Casaï
31481;502087;502731;;Clarastrasse
32724;508775;509222;;Rüeggisingerstrasse
11700;314;1984;;Hergiswil
27636;314;368950;;A9 - Warteraum Schwerverkehr Raron
23701;314;4336;;Oetwil a.d.L.
31416;502375;502346;;Petersgraben
10565;;214;;Zug
16672;270;10594;;Walliswil b. N.
20627;270;790;;Chavornay
20625;270;3898;;Villars-le-Terroir
16895;270;7124;;Ostermanigen
20449;270;6774;;Villarimboud
29981;494462;494846;;Wüeristrasse
35956;524572;524547;;Rue du Doubs
29244;489476;489557;;Wilstrasse
21324;270;2326;;San Carlo
12317;314;4456;;Mettmenstetten
17542;270;3490;;Burgdorf
28290;485370;485723;;Guisanplatz
36257;526539;521735;;Via Paudo
21173;270;7092;;Tavanasa
16490;270;7136;;Prêles
36150;525541;525479;;Rue du Rocher
12120;314;642;;Gais
24569;270;4808;;Hundwil
17138;270;6616;;Lyssach
25030;270;6210;;Hugelshofen
26405;270;5956;;Losone Ponte Maggia
26350;;1448;;Mühlematt
11338;314;614;;Surava
16665;270;9198;;Niederönz
20154;270;326;;Murten
16419;314;5298;;Lanzenhäusern
17053;314;5204;;Blumenstein
17159;314;3496;;Hasle b. B.
16510;270;8938;;Mett
32748;509306;508811;;Weinberglistrasse
10521;;1648;;Weesen
32415;507398;507491;;Thundorferstrasse
12627;314;606;;Thusis
24308;270;9412;;Dürstelen
25578;270;9602;;Riniken
36202;525755;525763;;Avenue des Portes Rouges
20981;314;3710;;Cunter
22172;314;3786;;Hornussen
27707;314;369412;;Birsfelden Hard
10680;314;1978;;Kreuzlingen-Süd
32170;504941;505974;;Route de Riddes
17571;2660;2676;;Pfaffenried
11453;314;2534;;Schlieren
11309;;452;;Brünig-Pass
30970;498697;500103;;Rue de Coutance
21032;314;1114;;Zillis
36425;532116;832;;Bern-Forsthaus
25148;270;8944;;Rothenhausen
12860;270;7410;;Leytron
24833;270;668;;Herisau
31427;502420;501525;;Leonhardsstrasse
35354;521341;521333;;In Tirada
19811;270;4938;;Les Breuleux
16764;270;2738;;Jegenstorf
19150;314;5528;;Rosé
16784;270;8178;;Seewil
25328;314;3080;;Feldbach
26752;270;8736;;Piandera
29589;492950;490158;;Manessestrasse
25112;270;8004;;Henau
25097;270;5922;;Hohfirst
30091;495416;495424;;Route des Neigles
16753;270;4794;;Mühleweg
26715;270;2712;;Posieux
22835;270;4980;;Nebikon
25579;270;904;;Neuenhof
16772;270;7384;;Etzelkofen
12042;314;3434;;Sembrancher
22509;270;4610;;Remigen
25161;270;3024;;Tobel
12954;314;4224;;Ardon
16635;270;4886;;Obersteckholz
19992;314;5550;;Prahins
16433;270;4944;;Les Reussilles
26462;270;5706;;Ponto Valentino
19503;270;9054;;St-Saphorin-s.-M.
25256;314;3582;;Waldibrücke
36225;485089;526328;;Alte Winterthurstrasse
11697;314;3852;;Ebikon
21009;270;10298;;Tumegl/Tomils
22542;270;6524;;Oberflachs
20697;314;2658;;L'Etivaz
35410;521973;521984;;Via Lugano
35266;521151;527209;;Felsbergstrasse
28633;487748;487735;;Marzilistrasse
25395;296;300;;Nation
32644;508665;508848;;Hirschmattstrasse
25854;314;512;;Richterswil
28031;484499;484531;;Alfred-Aebi-Strasse
27409;;1206;;Moutier-Süd
16345;314;1056;;Niederwangen
23221;314;5256;;Ennetmoos
31782;504374;504355;;Grubenstrasse
28382;484432;486331;;Bubenbergplatz
20000;270;8476;;Vesin
21129;270;3250;;Ilanz
21543;270;3274;;Melano
17106;270;3492;;Huttwil
24372;270;7274;;Hofstetten b.Elgg
27487;;367587;;Sissach-West
35183;520736;504198;;Spitalstrasse
30355;496894;496868;;Avenue du Vieux Moulin
22177;314;4268;;Gelterkinden
12124;314;4732;;Gunten
26833;270;6548;;Brusata
19907;270;808;;Estavayer-le-Lac
35945;524505;524516;;Rue du Président Wilson
31382;501787;501742;;Luzernerring
35140;508648;520478;;Untergütschstrasse
23749;270;3878;;Rafz
17308;270;10138;;Fahrni
35957;524572;524580;;Rue de la Montagne
29505;492481;492506;;Schauenbergstrasse
29232;490769;491259;;Franklinstrasse
21667;270;7862;;Grimisuat
11685;314;3694;;Savognin
16386;314;4284;;Bellmund
19583;270;9312;;Arnex-sur-Orbe
22607;314;2528;;Bremgarten
20643;270;9400;;Peney-le-Jorat
19602;270;2068;;Orbe
31468;491572;502759;;Riehenstrasse
20628;270;9100;;Rossenges
10652;;1958;;Brügg
22394;314;4262;;Anwil
27396;528909;10978;;Rosenbergstrasse
11654;314;1634;;Pfäffikon
31008;500203;1758;;Route de Malagnou
12700;10956;10964;;Brione Verzasca
21923;270;6134;;Lommiswil
32742;509293;501739;;Voltastrasse
31304;501163;501152;;Neubadstrasse
22260;314;5096;;Gunzgen
28734;488366;488379;;Lämmlisbrunnenstrasse
25529;314;4558;;Hermetschwil
26337;;533494;;Schwerverkehrszentrum Giornico
29903;484499;485264;;Talackerstrasse
24097;270;4114;;Pfungen
31983;505488;505442;;Lenggiserstrasse
36023;524699;524736;;Rue Fritz Courvoisier
28730;488355;488310;;Unterer Graben
30189;495872;495859;;Route des Avants
29574;492886;490318;;Butzenstrasse
16745;270;6612;;Lueg
36172;496479;495351;;Avenue de la Gare
20675;270;788;;Bavois
26668;270;396;;Martigny
36132;525350;495351;;Avenue de la Gare
17298;270;4020;;Heimberg
23557;270;5748;;Aeugst
19524;270;6474;;Bremblens
20191;270;1050;;Düdingen
12211;314;1648;;Weesen
20847;270;6224;;Stugl
20439;270;368464;;La Claie-aux-Moines
28309;485915;485476;;Burgstrasse
26495;314;3318;;Nivo
17071;270;4740;;Seftigen
20710;314;4194;;Cully
10741;;1480;;Basel-Badischer Bahnhof
36180;525654;525644;;Rue des Battieux
21989;270;2110;;St-Maurice
12875;270;10546;;Visperterminen
12947;314;1306;;Rivera
20383;270;7448;;Farvagny
27232;270;2378;;Le Pont
11553;314;3380;;Zofingen
30821;499435;499424;;Chemin des Crêts
11564;314;2640;;Emmenbrücke
19168;314;4170;;Croy
22820;270;9272;;Oberkirch
26926;270;7092;;Tavanasa
31720;503919;504088;;Solenbergstrasse
22096;270;5784;;Allschwil
17208;270;3058;;Schwanden
25029;270;2558;;Neuwilen
16340;314;2608;;Schüpbach
17184;270;7972;;Utzigen
19800;314;5170;;Charmoille
26032;270;7786;;Zwischenbergen
35835;523956;523327;;Strada Ponte di Valle
30910;498818;498612;;Route de Frontenex
27221;270;778;;Lausanne-Crissier
23921;270;4612;;Schwerzenbach
28114;484903;484655;;Bözingenstrasse
22706;270;4972;;Menznau
28662;487889;487851;;Aargauerstalden
26616;270;7878;;Loye
28016;484416;484432;;Bahnhofplatz
25334;270;5174;;Vendlincourt
24964;270;5372;;Langrickenbach
21688;270;2130;;Conthey
35827;523042;523024;;Via Trevano
27216;270;1024;;Vevey
30389;497166;496988;;Route du Jorat
29895;494439;494429;;Rellikerstrasse
10412;;1008;;Unterstrass
19439;314;308;;Nyon
23619;314;2030;;Kaiserstuhl
23675;270;10088;;Stadel
31389;502222;501787;;Flughafenstrasse
21185;314;584;;Aquila
32720;508775;508743;;Reussbühlstrasse
31506;502858;502087;;Riehenring
16951;270;9898;;Milken
25608;270;5722;;Bonstetten
30815;498758;499074;;Avenue Edmond Vaucher
19271;270;10330;;Martel-Dernier
32204;506579;506582;;Churweg
11411;314;369025;;Winterthur - Gewerbeschule
10817;2180;5680;;Rupperswil
27277;270;3860;;Lorzen
20057;270;8718;;Oulens-sur-L.
21316;2322;2338;;Roseto
26760;270;8734;;Sonvico
26901;270;1602;;Birmensdorf
31710;503953;314;;Hauptstrasse
10499;314;1590;;Urdorf-Nord
32291;484432;506664;;Engadinstrasse
11748;314;3882;;Koblenz
21609;2158;2162;;Berisal
20459;270;2460;;Marnand
14925;2298;2302;;Verladestelle Lugano-Vedeggio
31159;500353;500086;;Rue de Saint-Jean
17568;314;2510;;Roggwil
28611;487048;482844;;Murtenstrasse
22956;270;6620;;Wetzwil
24045;270;2914;;Unterschlatt
21768;270;7878;;Loye
20652;270;6790;;Morrens
30990;1758;500181;;Rue Ferdinand Hodler
36330;521402;527789;;Piazza Molino Nuovo
28239;485552;485527;;Goldiwilstrasse
20701;270;6394;;Blonay
19173;270;5980;;Lavigny
10507;314;1622;;Horgen
27731;314;1060;;Bellinzona
19242;270;6748;;Villars-Burquin
23008;270;9720;;Schafisheim
35223;520913;509019;;Hünenbergstrasse
30399;497200;497218;;Route de l'Abbaye
22501;270;2520;;Oberentfelden
27558;;368174;;Sauges-Tunnel
27564;314;3938;;Vingelz
29152;490593;490907;;Viaduktstrasse
19805;314;3160;;Laufen
24660;314;1156;;Buchs
27663;314;369028;;Winterthur - Lind
29336;489709;369144;;Forchstrasse
23597;314;3104;;Schöfflisdorf
23083;270;6434;;Kallern
21007;270;10296;;Rodels
35793;523625;523793;;Via Pretorio
10550;;1698;;Küssnacht
16381;314;4024;;Niederwichtrach
29323;489742;489688;;Rämistrasse
30498;497625;496318;;Route de Romanel
25293;314;1574;;Frick
12803;270;2574;;Rochefort
19286;270;9034;;Les Geneveys-sur-Coffrane
20860;270;1504;;Schiers
24015;314;4530;;Schlattingen
21237;270;6278;;Semione
12707;10778;10780;;Fusio
22958;270;9834;;Etzelwil
27846;482659;482714;;Hallerstrasse
35491;521467;521264;;Via San Gottardo
28572;483647;484299;;Elfenstrasse
11784;314;4010;;Ringgenberg
29053;485673;490261;;Leimbachstrasse
31877;497551;504764;;Rue du Midi
17601;270;2728;;Thörishaus
10435;314;1422;;Sursee
23346;270;3058;;Schwanden
10266;;890;;Lenzburg
17061;270;10380;;Uetendorf
23360;270;7752;;Klöntaler See
16453;270;7134;;Diesse
23987;270;6322;;Binz
17162;314;4780;;Walkringen
16705;270;4432;;Thörigen
28353;486137;483473;;Mengestorf-Strasse
27879;483381;483410;;Sägestrasse
25784;270;4672;;Giffers
26815;270;6060;;Pedrinate
17026;270;6190;;Belpberg
27160;270;7492;;Grengiols
19730;270;9756;;Muriaux
24835;270;8026;;Dicken
31151;500923;500891;;Cours des Bastions
24559;270;10672;;Schönenboden
25886;314;2926;;Erzenholz
23087;270;5492;;Sarmenstorf
14877;314;528;;Ponte Tresa
32614;508701;314;;Hauptstrasse
10462;;1330;;Faido
23545;270;6346;;Aegstertal
12905;10970;508;;Oberdorf
35531;522509;522521;;Via Principale
10480;;3176;;Reinach-Nord
28920;488537;488407;;Rehetobelstrasse
24122;270;10748;;Itschnach
24048;270;5472;;Ossingen
22744;270;2024;;Sarnen
35986;524315;524360;;Rue du Marais
25016;270;686;;Berg
19910;270;10178;;Praz
29037;490158;490150;;Tunnelstrasse
28188;485306;485167;;Schulstrasse
14886;314;4052;;Sorvilier
26321;;844;;Hurst
12771;10930;2068;;Orbe
23698;270;908;;Würenlos
25555;314;900;;Baden-West
11525;314;2542;;Frauenfeld
17334;270;9264;;Meiersmaad
17435;270;4906;;Oey
36365;;446;;Umfahrung Emdthal
20564;270;8952;;Corcelles-le-Jorat
27813;314;369942;;Giratoire Liberté-Crêtets
17409;270;4926;;Lenk
31697;490698;503999;;Lochstrasse
26506;270;5796;;Piora
19779;270;6984;;Montmelon
28175;485181;485255;;Frutigenstrasse
35628;521264;522922;;Via Camara
32573;508442;508500;;Arsenalstrasse
19590;270;2066;;Les Clées
23616;314;4326;;Schneisingen
21611;270;7792;;Kippel
25381;270;6234;;Nant-d'Avril
20565;270;4920;;Savigny
20658;270;6962;;Boussens
30493;497602;496902;;Avenue du Vélodrome
25057;270;686;;Berg
25152;270;6516;;Braunau
35211;508999;508899;;Schweizerhofquai
28901;489351;489362;;Holzstrasse
27172;;1990;;Gipsfabrik
25476;314;4554;;Aristau
12233;314;530;;Lamone
28636;487769;487748;;Aarstrasse
23307;314;3074;;Steinenbrücke
20095;314;250;;Freiburg
30481;497551;497569;;Rue de la Pontaise
30730;498948;498940;;Avenue Louis Aubert
32379;507491;507519;;Dingenhartstrasse
25286;314;3354;;Lauerz
17595;270;10042;;Hondrich
24299;270;1634;;Pfäffikon
12952;314;1128;;Reichenau
22077;270;10772;;Nenzlingen
28618;486830;486823;;Matzenriedstrasse
31276;501703;501660;;Kannenfeldplatz
30654;498406;496451;;Avenue du Grand Pont
26664;270;404;;Abzweigung Ravoire
17210;270;8780;;Lauperswil
25634;270;9244;;Ratenpass
24772;314;672;;Gossau
23269;314;5382;;Emmetten
12678;270;9302;;Ghirone
27706;3332;2196;;Airolo-Nufenen
27842;482659;482674;;Bremgartenstrasse
31272;501680;501657;;Mülhauserstrasse
12760;2366;2368;;Le Brassus
19873;270;1226;;Bassecourt
25762;270;8990;;Allières
26823;270;6062;;Pobbia di Novazzano
23753;270;8010;;Opfertshofen
20107;270;7874;;Nierlet-les-Bois
28760;488504;487016;;Felsenstrasse
35149;520562;508694;;Klosterstrasse
27211;270;6862;;Brent
27388;270;7932;;Gurzelen
35446;522130;522138;;Carrale Confaglia
31152;500923;500005;;Avenue de Champel
24689;314;2844;;Heerbrugg
16468;270;6144;;Rebévelier
23235;270;3842;;Sachseln
32031;505765;505771;;Rue du Rawil
25962;;810;;Sévaz-Tunnel
36004;524165;524773;;Rue du Manège
10284;916;528350;;Zürich-Affoltern
16469;270;1204;;Tavannes
17416;270;2900;;Enge
21222;270;7518;;Fidaz
31536;502908;501774;;Klybeckstrasse
19633;270;2446;;St-Sulpice
25541;270;3980;;Schinznach Bad
30188;495872;495879;;Route De Chaulin
11211;;908;;Würenlos
21854;270;6264;;Gryon
27272;270;5274;;Nidfuren
30490;497594;497602;;Avenue du Grey
14933;;1560;;Dreirosenbrücke
30917;498619;498825;;Rue des Vollandes
22223;314;3158;;Oberrüti
11147;;1748;;Fäsenstaub-Tunnel
10625;;1880;;Egg
24566;270;4162;;St. Peterzell
28251;483647;483610;;Dorfstrasse
36265;508500;508624;;Eichwilstrasse
21407;10898;10910;;Scareglia
25128;270;9188;;Istighofen
16555;314;4422;;Wengi
19300;270;7470;;Savagnier
23250;270;10654;;Wiesenberg
19384;270;6150;;Collex
16524;270;1956;;Studen
16776;270;2740;;Grafenried
25434;270;9842;;Lehwil
36045;525065;527237;;Le Dazenet
31292;501742;501787;;Flughafenstrasse
20124;270;2470;;Faoug
23875;270;478;;Ramsen
22214;270;6494;;Engi
23712;270;3100;;Dielsdorf
27501;270;1452;;Sissach
32080;505974;506004;;Route de la Printze
35435;522070;521984;;Via Lugano
27183;270;7630;;Chiboz
19484;270;6068;;Ballens
31001;498573;498566;;Route de Chêne
10252;;846;;Kirchberg
28430;486790;486779;;Moosweg
20123;270;340;;Courgevaux
23426;314;492;;Goldau
23683;270;6584;;Hochfelden
12213;270;1646;;Niederurnen
32097;505967;505716;;Route d'Italie
10354;314;1106;;Sufers
24873;314;704;;Steineloh
10487;;2222;;Itingen
17423;270;10724;;Ferrenberg
32503;488017;508100;;Fadenstrasse
17028;270;4022;;Oberwichtrach
11302;270;10140;;Hulftegg
31768;504316;504305;;Kirchgasse
21514;314;3272;;Capolago
36405;314;528637;;Rotachen
21033;314;2804;;Grono
10753;;3748;;Mollis
10439;;1170;;Emmen-Süd
17528;314;4762;;Herbligen
26590;314;418;;Stalden
35850;522230;522929;;Via Besso
31554;503232;503257;;Sankt Galler-Ring
21060;314;3252;;Schluein
29501;491172;492481;;Emil-Klöti-Strasse
28674;482681;486331;;Bubenbergplatz
22456;270;7338;;Stüsslingen
31561;503268;503284;;Gotthelfstrasse
24997;270;5920;;Andwil
12633;314;640;;Bühler
21784;270;4302;;Euseigne
22069;270;5732;;Ettingen
17066;270;8942;;Längenbühl
25678;270;5742;;Mettlen
30751;499057;498772;;Avenue du Pailly
26822;270;6060;;Pedrinate
24184;270;4608;;Büren
21603;314;4412;;Naters
22733;270;9782;;Wilen b. Sarnen
27587;314;3448;;Les Evouettes
35321;521264;521443;;Viale Officina
36171;496479;500878;;Rue de l'Hôtel de Ville
29970;494364;494645;;Pfäffikerstrasse
32677;509006;508522;;Luzernerstrasse
27702;314;369155;;Zürich - Am Wasser
31514;503014;502792;;Fasanenstrasse
26571;270;7492;;Grengiols
24116;270;4804;;Hombrechtikon
20289;270;7032;;Cerniat
24821;270;7138;;Oberhelfenschwil
30453;498297;526830;;Chemin de Chailly
28769;488606;488586;;Langgasse
21951;270;8614;;Thyon
22954;270;3544;;Büron
24380;270;966;;Münchwilen
24021;314;4540;;Warth
22899;314;3168;;Reinach
31252;501580;501563;;Schönbeinstrasse
36239;522922;521264;;Via San Gottardo
30541;497827;496639;;Route de Chavannes
17058;314;1966;;Wimmis
11054;314;5242;;Spissermühle
10756;314;2232;;Rüfenacht
20156;270;3924;;Cressier
22206;270;8442;;Wahlen
20527;314;2706;;Vuadens
28767;488586;488606;;Sankt-Jakob-Strasse
12079;314;3566;;Walchwil
28157;485148;485156;;Buchholzstrasse
22477;270;6576;;Häfelfingen
22882;270;9594;;Uerkheim
29017;489982;490032;;Furttalstrasse
29667;490537;493260;;Eugen Huber-Strasse
12386;2660;434;;Spiez
10457;314;1358;;Wassen
12072;314;3546;;Triengen
32161;506397;506405;;Rue des Champs de Tabac
17160;314;4776;;Schafhausen i. E.
25101;270;5926;;Mutwil
28614;487656;487669;;Wohleiberg
26318;;2122;;Indivis
29538;490018;490004;;Birchstrasse
32536;508298;507948;;Letzistrasse
21464;314;3322;;Chiggiogna
31543;482681;501580;;Klingelbergstrasse
23234;270;10152;;Melchsee-Frutt
23736;270;3876;;Eglisau
27654;270;368984;;Unterrongellen
30016;495025;4668;;Römerswil
10709;;2090;;Montreux
28739;488366;488414;;Martinsbruggstrasse
21866;270;8500;;Lavey-les-Bains
29214;489997;490011;;Regensbergstrasse
20585;270;8490;;Riex
23179;270;6128;;Maschwanden
21906;270;6302;;Gächliwil
24286;270;4616;;Russikon
31868;504603;496251;;Route de Lausanne
36226;485089;490821;;Wallisellerstrasse
12158;314;5238;;Tramelan
20645;270;6640;;Cugy
24721;270;632;;Altstätten
24112;270;6620;;Wetzwil
31615;501275;501237;;Münchensteinerstrasse
10401;1254;528362;;La Praille-Carouge
35589;522789;522771;;Via Barbengo
31789;503960;504408;;Brämlenstrasse
20889;270;7754;;Monstein
22183;270;2752;;Ammannsegg
19935;270;9074;;Guévaux
16796;270;7882;;Wierezwil
35502;522346;522338;;Interno i Bol
31136;500849;500520;;Boulevard des Philosophes
11122;;1234;;Mont Terri-Tunnel
19601;270;9546;;Le Suchet
16455;5260;5266;;Oberlangenegg
21345;270;6508;;Porta
12873;270;5406;;Leuk
25640;270;6024;;Steinhausen
10291;314;962;;Matzingen
17405;270;4926;;Lenk
20460;270;5148;;Romont
12008;314;3036;;Unterschächen
35953;524516;524547;;Rue du Doubs
30308;496596;496614;;Avenue du Chablais
32671;489560;504327;;Alpenstrasse
10505;;1616;;Wollishofen
21589;10946;10950;;Ausserbinn
22085;270;5186;;Therwil
30165;495764;495761;;Avenue Des Planches
10002;369746;914;;Verzweigung Limmattal
32387;506865;485882;;Bahnhofstrasse
25617;270;10760;;Zugerberg
22408;314;5122;;Niedergösgen
29410;491910;491786;;Talstrasse
31743;503871;503878;;Vorstadt
26636;270;7862;;Grimisuat
26984;270;3492;;Huttwil
22543;270;6526;;Thalheim
26982;270;4786;;Kleindietwil
28419;486704;486576;;Mühle-Strasse
36053;525096;525093;;Route du Brel
23447;270;6042;;Vasön
29329;489735;369144;;Forchstrasse
36261;485174;486115;;Bachstrasse
27404;314;1174;;Buchrain
30960;500040;500032;;Route de Montfleury
22751;270;2626;;Hasle
22304;314;3982;;Lauffohr
24176;270;5160;;Dettighofen
11175;;1118;;Crapteig-Tunnel
35518;521560;522398;;Carèe in Mòto
36289;502865;502087;;Riehenring
16521;270;4040;;Ägerten
19255;270;7828;;Fiez
24791;270;7510;;Niederuzwil
20600;270;6762;;Correvon
28950;489617;489641;;Trichtenhausenstrasse
11898;314;2600;;Grosshöchstetten
25561;270;10522;;Oberniesenberg
11177;;528562;;San Bernardino-Tunnel
26810;270;6702;;Arogno
21940;270;3954;;Riedholz
35808;523632;523607;;Corso Elvezia
23944;270;6562;;Bubikon
20355;270;10004;;Villaraboud
11555;314;1432;;Reiden
23968;270;6246;;Bertschikon
17127;270;2612;;Bärau
11832;314;4162;;St. Peterzell
25565;270;872;;Rothrist
19497;270;10158;;Villars-sous-Yens
31524;503057;502076;;Wettsteinallee
25870;314;3110;;Tiefenwaag
25848;314;3356;;Oberarth
17126;270;3504;;Grünenmatt
21178;270;9526;;Run
28391;482668;482652;;Neufeldstrasse
24106;314;3090;;Uetikon
17153;314;4384;;Bolligen
16908;314;2482;;Gümmenen
28475;482674;482844;;Murtenstrasse
30418;497286;497297;;Route du Golf
21814;270;9800;;Levron
19143;270;8472;;Cheiry
29552;489523;490885;;Thurgauerstrasse
19906;270;808;;Estavayer-le-Lac
28859;488714;488303;;Sankt-Leonhard-Strasse
29612;490404;490361;;Birmensdorferstrasse
22632;270;4936;;Mellingen
24336;314;5158;;Wermatswil
25945;369144;1756;;Neuhaus
29495;492459;491076;;Winzerstrasse
28399;2486;483876;;Worblaufenstrasse
20097;314;4628;;Misery
26848;270;5952;;Serpiano
30528;497755;497769;;Avenue de la Harpe
32689;504355;509068;;Cheerstrasse
27179;;2152;;Gamsen-Tunnel
21389;270;548;;Cadenazzo
17078;270;5212;;Reutigen
22729;270;7736;;Glaubenbüelenpass
32770;484499;484432;;Bahnhofplatz
17551;314;2502;;Oberönz
28671;487921;482681;;Schanzenstrasse
21475;270;1340;;Quinto
23339;270;9422;;Wilerzell
11261;2250;2252;;Gersau
23157;270;6484;;Lieli
25525;270;5492;;Sarmenstorf
28034;484531;484499;;Zentralstrasse
11485;314;822;;Mühleberg
21141;270;10438;;Valé
21636;270;5582;;Vissoie
19699;270;5566;;Ste-Croix
22502;314;2994;;Stein
22147;270;5094;;Härkingen
35985;524315;524172;;Rue de la Balance
31072;500145;500570;;Avenue de la Roseraie
29081;490178;490361;;Birmensdorferstrasse
10629;;1886;;Ottikon
12711;10918;6724;;Cerentino
35709;523327;521166;;Via Cantonale
21190;314;598;;Fuorns
22112;270;7192;;Münchenstein
23246;270;10702;;Ächerlipass
30985;499989;500005;;Avenue de Champel
21601;270;6386;;Ried b. Mörel
20931;270;8426;;Fläsch
28093;484559;484506;;Madretschstrasse
23053;270;8090;;Benzenschwil
35797;523793;523625;;Corso Enrico Pestalozzi
27980;484207;526949;;Elfenaustrasse
32230;506671;314;;Hauptstrasse
19506;270;9056;;Sévery
24583;270;7264;;Kobelwald
19987;270;6794;;La Mauguettaz
29121;490683;489990;;Bucheggstrasse
29933;494629;485882;;Bahnhofstrasse
31696;490698;503981;;Neustrasse
29907;494497;494505;;Aathalstrasse
23922;270;1912;;Volketswil
17223;314;418;;Stalden
26371;;1066;;Campagnola
28630;487735;486254;;Sandrainstrasse
35554;521166;522618;;Sentiero Torello
29635;490455;493155;;Herdernstrasse
27149;270;712;;Gampel-Steg
29878;489560;494343;;Industriestrasse
31205;501268;501230;;Gundeldingerstrasse
26367;;1042;;La Tuffière
32533;507948;507933;;Chamerstrasse
27437;;364219;;Traversa-Tunnel
32052;505855;505716;;Route d'Italie
12906;2354;2346;;St-Imier
27217;270;1024;;Vevey
22844;314;3550;;Kirchleerau
23398;270;1916;;Wangen
16935;270;5302;;Mittelhäusern
21501;270;7562;;Sessa
21782;270;7390;;Mâche
23707;270;4334;;Otelfingen
11789;314;454;;Balm
22196;314;4400;;Zullwil
23957;314;5102;;Mönchaltorf
19930;270;9072;;Môtier
21415;270;7102;;Davesco-Soragno
12063;314;3526;;Beromünster
27849;482703;482844;;Murtenstrasse
26000;;1466;;Schweizerhalle-Tunnel
25367;270;4514;;Vicques
21944;270;9762;;Salins
11212;;950;;Forrenberg
24390;314;1584;;Brugg
12097;270;3644;;Vinadi
24019;314;4538;;Hüttwilen
28341;483466;483480;;Haltenstrasse
32606;508552;486348;;Hirschengraben
27929;483801;483750;;Papiermühlestrasse
21895;270;6302;;Gächliwil
21803;270;8358;;Champsec
30651;496639;496614;;Avenue du Chablais
23931;270;4804;;Hombrechtikon
22485;270;5120;;Obergösgen
12729;270;6696;;Brusino Arsizio
20172;270;2716;;Uebewil
19958;270;4914;;Forel
26876;270;6838;;Vacallo
28084;484514;484775;;Neuenburgstrasse
36177;525647;525644;;Rue des Battieux
29378;491954;484432;;Bahnhofplatz
30214;496096;496104;;Route des Prévondes
30942;10850;499959;;Chemin Naville
16689;314;3496;;Hasle b. B.
23167;270;5934;;Islisberg
20548;270;250;;Freiburg
11746;314;3986;;Klingnau
32214;506589;506641;;Ottostrasse
24504;270;9872;;Eidberg
29526;490807;492574;;Hertensteinstrasse
16707;270;9274;;Bollodingen
10644;;1890;;Jona
27224;10930;8550;;Le Mont du Lac
28647;487807;487824;;Kramgasse
