No;id;Messstelle;Kt;Strasse;StrasseTyp;DurchschnittlicherTagesverkehr2022;DurchschnittlicherMinute2022
2;CH:0002;CHALET-A-GOBET;VD;H 1;H;15411.72697;10.70258818
3;CH:0003;BRISSAGO S;TI;H 13;H;8767.975342;6.088871766
5;CH:0005;SCHWANDEN N;GL;H 17;H;6931.515068;4.813552131
9;CH:0009;BRUENIG, LETZI;OW;A 8;A;8135.076712;5.649358828
10;CH:0010;HOSPENTAL S, ST. GOTTHARD;UR;H 2;H;4294.466251;2.98226823
14;CH:0014;JULIER, SILVAPLANA;GR;H 3;H;3435.531507;2.385785769
16;CH:0016;TWANN, WINGREIS (AS);BE;A 5;A;12105.37288;8.406508945
17;CH:0017;BUCHS AG (AB);AG;A 1R;A;44576.90137;30.95618151
18;CH:0018;MEIRINGEN E, LAMMI;BE;H 6;H;4349.734247;3.020648782
20;CH:0020;UMF. ZUERICH N, AFFOLTERN (AB);ZH;A 1C;A;107228.7736;74.4644261
22;CH:0022;KRIESSERN (AB);SG;A 13;A;37817.52603;26.26217085
23;CH:0023;MATTSTETTEN (AB);BE;A 1;A;79696.56438;55.34483638
24;CH:0024;ROLLE (AR);VD;A 1;A;77230.70959;53.63243721
25;CH:0025;BAD RAGAZ (AB);SG;A 13;A;48448.91575;33.64508038
26;CH:0026;ENNETHORW (AB);LU;A 2;A;64841.87397;45.02907915
27;CH:0027;DISENTIS E;GR;H 19;H;2742.29863;1.904374049
30;CH:0030;SOYHIERES;JU;H 18;H;4762.80274;3.307501903
32;CH:0032;DEITINGEN (AB);SO;A 1;A;85652.87397;59.48116248
33;CH:0033;EPTINGEN N (AB);BL;A 2;A;59933.52055;41.62050038
35;CH:0035;TRUEBBACH S (AB);SG;A 13;A;42501.92877;29.51522831
38;CH:0038;STARRKIRCH;SO;H 5;H;15541.73699;10.79287291
40;CH:0040;ALPNACHSTAD (AS);OW;A 8;A;27443.54247;19.0580156
41;CH:0041;GRAND-ST-BERNARD (TUNNEL);VS;H 21;H;2371.854795;1.647121385
44;CH:0044;SAN BERNARDINO (TUNNEL);GR;A 13;A;8073.813699;5.606815068
49;CH:0049;STANSSTAD S (AB);NW;A 2;A;43626.64384;30.29628044
50;CH:0050;BRUNNEN, MOSITUNNEL;SZ;A 4;A;15166.02192;10.53195967
53;CH:0053;WEESEN, KERENZERBERG (AB);GL;A 3;A;37154.15068;25.80149353
